order_id,platform,city,category,num_items,cart_value,hour_of_day,is_weekend,weather,base_delivery_fee,handling_fee,surge_charge,small_cart_fee,night_surge,peak_surge,total_hidden_charges,platform_discount,final_price,has_offer,offer_type,offer_value,offer_genuine_score,is_late_night_order,is_bulk_order,is_health_category,days_since_last_order
ORD896907,Blinkit,Delhi,Medicines,11,542.84,23,0,Clear,0.0,6.88,0.0,0,17.08,0.0,23.96,0.0,566.8,0,None,0.0,,1,1,1,2
ORD527809,Zepto,Pune,Medicines,12,216.0,15,0,Hot,0.0,11.76,0.0,0,0.0,0.0,11.76,0.0,227.76,1,Free Delivery,53.51,0.9,0,1,1,3
ORD502219,Zepto,Delhi,Personal Care,8,649.94,13,1,Rainy,0.0,5.46,22.52,0,0.0,7.44,35.42,0.0,685.36,0,None,0.0,,0,1,0,7
ORD448588,Instamart,Bangalore,Personal Care,6,999.02,20,1,Hot,0.0,5.7,0.0,0,0.0,14.99,20.69,41.09,978.62,1,Free Delivery,72.52,1.0,0,0,0,18
ORD504832,Instamart,Kolkata,Beverages,12,720.41,13,0,Rainy,0.0,5.4,19.76,0,0.0,12.05,37.21,52.13,705.49,0,None,0.0,,0,1,0,22
ORD261859,Instamart,Bangalore,Dairy,14,1059.09,14,1,Cloudy,0.0,6.64,0.0,0,0.0,0.0,6.64,0.0,1065.73,1,Free Delivery,67.4,1.0,0,1,1,3
ORD896290,Blinkit,Pune,Fruits & Veg,14,1034.62,12,0,Clear,0.0,13.59,0.0,0,0.0,8.17,21.76,0.0,1056.38,0,None,0.0,,0,1,1,16
ORD565230,Instamart,Mumbai,Dairy,4,566.05,17,1,Cloudy,0.0,4.59,0.0,0,0.0,0.0,4.59,0.0,570.64,0,None,0.0,,0,0,1,6
ORD278240,Instamart,Pune,Fruits & Veg,5,499.82,21,1,Clear,0.0,4.87,0.0,0,0.0,10.66,15.53,0.0,515.35,0,None,0.0,,0,0,1,6
ORD563187,Zepto,Kolkata,Medicines,4,794.45,17,1,Rainy,0.0,7.14,20.0,0,0.0,0.0,27.14,0.0,821.59,1,Flat Discount,104.87,0.53,0,0,1,12
ORD833247,Instamart,Pune,Personal Care,8,303.12,17,0,Cloudy,0.0,6.31,0.0,0,0.0,0.0,6.31,0.0,309.43,1,BOGO,60.25,0.96,0,1,0,10
ORD362801,Zepto,Kolkata,Medicines,10,1012.78,11,0,Clear,0.0,11.13,0.0,0,0.0,0.0,11.13,0.0,1023.91,1,Flat Discount,40.66,0.94,0,1,1,22
ORD483629,Instamart,Bangalore,Medicines,5,117.37,17,0,Clear,24.2,4.79,0.0,15,0.0,0.0,19.79,0.0,161.36,1,Free Gift,34.59,0.71,0,0,1,17
ORD809176,Instamart,Pune,Personal Care,13,916.15,20,1,Hot,0.0,6.03,0.0,0,0.0,6.41,12.44,67.4,861.19,0,None,0.0,,0,1,0,24
ORD962367,Instamart,Kolkata,Frozen,2,95.59,22,0,Cloudy,27.12,6.73,0.0,15,16.07,0.0,37.8,0.0,160.51,0,None,0.0,,1,0,0,21
ORD780776,Blinkit,Delhi,Beverages,10,805.37,17,0,Cloudy,0.0,11.35,0.0,0,0.0,0.0,11.35,0.0,816.72,0,None,0.0,,0,1,0,14
ORD830316,Zepto,Bangalore,Dairy,2,342.98,6,1,Hot,0.0,7.84,0.0,0,0.0,0.0,7.84,22.26,328.56,0,None,0.0,,0,0,1,18
ORD818987,Blinkit,Bangalore,Frozen,10,1131.74,21,0,Hot,0.0,7.8,0.0,0,0.0,7.17,14.97,0.0,1146.71,1,Free Delivery,129.76,0.52,0,1,0,12
ORD692002,Instamart,Chennai,Medicines,14,182.67,6,1,Clear,21.61,7.84,0.0,0,0.0,0.0,7.84,0.0,212.12,1,Flat Discount,44.1,0.93,0,1,1,7
ORD666456,Zepto,Hyderabad,Snacks,6,963.28,16,0,Rainy,0.0,8.36,14.16,0,0.0,0.0,22.52,0.0,985.8,0,None,0.0,,0,0,0,9
ORD638169,Zepto,Delhi,Beverages,6,739.52,17,1,Clear,0.0,3.14,0.0,0,0.0,0.0,3.14,7.61,735.05,1,Cashback,114.39,0.36,0,0,0,19
ORD184714,Zepto,Lucknow,Personal Care,12,593.01,14,0,Clear,0.0,11.68,0.0,0,0.0,0.0,11.68,28.74,575.95,1,Cashback,78.64,0.91,0,1,0,11
ORD782535,Instamart,Bangalore,Personal Care,7,588.16,7,1,Cloudy,0.0,7.63,0.0,0,0.0,0.0,7.63,49.12,546.67,0,None,0.0,,0,0,0,29
ORD820184,Instamart,Hyderabad,Medicines,6,526.58,13,0,Hot,0.0,8.38,0.0,0,0.0,7.55,15.93,21.88,520.63,0,None,0.0,,0,0,1,30
ORD445658,Blinkit,Delhi,Fruits & Veg,2,989.18,7,1,Hot,0.0,10.56,0.0,0,0.0,0.0,10.56,0.0,999.74,0,None,0.0,,0,0,1,22
ORD335137,Zepto,Kolkata,Grocery,14,1164.61,12,0,Hot,0.0,8.4,0.0,0,0.0,7.13,15.53,34.68,1145.46,0,None,0.0,,0,1,0,28
ORD773918,Zepto,Chennai,Beverages,10,984.09,20,0,Cloudy,0.0,10.61,0.0,0,0.0,13.18,23.79,0.0,1007.88,0,None,0.0,,0,1,0,18
ORD132146,Zepto,Pune,Fruits & Veg,6,86.84,4,1,Cloudy,28.05,8.1,0.0,20,9.7,0.0,37.8,0.0,152.69,0,None,0.0,,1,0,1,3
ORD806707,Instamart,Hyderabad,Personal Care,6,888.19,12,0,Rainy,0.0,8.66,17.68,0,0.0,6.57,32.91,3.68,917.42,0,None,0.0,,0,0,0,3
ORD721946,Blinkit,Lucknow,Personal Care,7,321.44,17,0,Hot,0.0,10.12,0.0,0,0.0,0.0,10.12,8.87,322.69,0,None,0.0,,0,0,0,16
ORD658453,Instamart,Pune,Beverages,1,417.59,6,0,Clear,0.0,5.27,0.0,0,0.0,0.0,5.27,17.89,404.97,1,Cashback,79.63,0.63,0,0,0,23
ORD280222,Zepto,Chennai,Grocery,7,594.92,7,0,Clear,0.0,3.7,0.0,0,0.0,0.0,3.7,25.76,572.86,1,Free Gift,50.53,0.79,0,0,0,26
ORD180089,Instamart,Lucknow,Dairy,7,352.51,20,0,Clear,0.0,7.53,0.0,0,0.0,8.96,16.49,0.0,369.0,1,Flat Discount,41.02,1.0,0,0,1,17
ORD787351,Instamart,Delhi,Snacks,6,344.62,15,1,Cloudy,0.0,4.88,0.0,0,0.0,0.0,4.88,42.17,307.33,0,None,0.0,,0,0,0,3
ORD177794,Zepto,Lucknow,Fruits & Veg,11,1047.96,13,0,Hot,0.0,8.64,0.0,0,0.0,9.42,18.06,4.1,1061.92,1,Flat Discount,92.8,0.97,0,1,1,10
ORD143015,Blinkit,Lucknow,Dairy,2,768.81,5,0,Cloudy,0.0,10.07,0.0,0,14.65,0.0,24.72,0.0,793.53,0,None,0.0,,1,0,1,15
ORD649525,Instamart,Hyderabad,Medicines,1,195.92,11,0,Rainy,33.29,6.06,19.14,0,0.0,0.0,25.2,0.0,254.41,1,Free Delivery,109.07,0.7,0,0,1,17
ORD858889,Instamart,Bangalore,Fruits & Veg,7,840.37,12,0,Hot,0.0,4.31,0.0,0,0.0,8.35,12.66,0.0,853.03,1,BOGO,104.97,0.56,0,0,1,28
ORD836971,Instamart,Bangalore,Personal Care,6,1163.82,12,0,Rainy,0.0,8.19,15.92,0,0.0,14.38,38.49,0.0,1202.31,1,Free Gift,100.09,0.23,0,0,0,27
ORD926403,Instamart,Delhi,Fruits & Veg,1,425.93,17,0,Cloudy,0.0,9.71,0.0,0,0.0,0.0,9.71,53.63,382.01,1,Free Delivery,31.69,0.96,0,0,1,4
ORD856215,Instamart,Mumbai,Frozen,10,252.76,17,0,Rainy,0.0,5.09,18.93,0,0.0,0.0,24.02,0.0,276.78,0,None,0.0,,0,1,0,15
ORD975679,Zepto,Kolkata,Personal Care,10,922.68,12,0,Hot,0.0,10.05,0.0,0,0.0,14.66,24.71,14.35,933.04,0,None,0.0,,0,1,0,7
ORD986982,Blinkit,Lucknow,Frozen,9,1162.22,13,1,Hot,0.0,13.17,0.0,0,0.0,6.38,19.55,0.0,1181.77,1,Free Gift,132.38,0.22,0,1,0,17
ORD466566,Zepto,Pune,Snacks,9,1010.77,7,1,Hot,0.0,3.83,0.0,0,0.0,0.0,3.83,0.0,1014.6,0,None,0.0,,0,1,0,30
ORD929822,Zepto,Kolkata,Dairy,7,499.9,6,0,Rainy,0.0,3.25,23.96,0,0.0,0.0,27.21,0.0,527.11,0,None,0.0,,0,0,1,5
ORD402096,Zepto,Mumbai,Medicines,13,582.43,11,0,Rainy,0.0,3.05,11.19,0,0.0,0.0,14.24,50.1,546.57,1,BOGO,83.89,0.92,0,1,1,8
ORD702980,Blinkit,Delhi,Dairy,2,1017.09,6,0,Hot,0.0,10.0,0.0,0,0.0,0.0,10.0,0.0,1027.09,0,None,0.0,,0,0,1,8
ORD632280,Instamart,Bangalore,Frozen,4,289.79,11,1,Cloudy,0.0,8.01,0.0,0,0.0,0.0,8.01,0.0,297.8,1,BOGO,86.17,1.0,0,0,0,18
ORD146489,Zepto,Kolkata,Personal Care,6,916.99,20,1,Hot,0.0,6.21,0.0,0,0.0,11.57,17.78,14.47,920.3,1,BOGO,112.93,0.57,0,0,0,12
ORD425138,Instamart,Chennai,Medicines,12,787.54,19,1,Hot,0.0,8.87,0.0,0,0.0,9.58,18.45,54.33,751.66,1,Cashback,120.76,0.96,0,1,1,17
ORD295892,Blinkit,Lucknow,Fruits & Veg,5,1045.6,10,0,Rainy,0.0,5.48,24.84,0,0.0,0.0,30.32,63.95,1011.97,1,Free Gift,114.06,0.98,0,0,1,16
ORD410000,Instamart,Lucknow,Dairy,13,894.33,12,0,Cloudy,0.0,4.47,0.0,0,0.0,13.22,17.69,0.0,912.02,1,Flat Discount,24.36,0.97,0,1,1,10
ORD160144,Blinkit,Kolkata,Fruits & Veg,1,768.63,9,0,Hot,0.0,9.35,0.0,0,0.0,0.0,9.35,0.0,777.98,0,None,0.0,,0,0,1,3
ORD571778,Instamart,Kolkata,Snacks,1,1030.51,12,0,Rainy,0.0,8.07,16.38,0,0.0,11.45,35.9,16.52,1049.89,1,BOGO,14.53,0.93,0,0,0,12
ORD838237,Blinkit,Lucknow,Fruits & Veg,7,807.51,19,0,Cloudy,0.0,7.5,0.0,0,0.0,9.99,17.49,58.85,766.15,1,BOGO,26.49,1.0,0,0,1,15
ORD676713,Zepto,Pune,Snacks,2,1035.17,18,0,Rainy,0.0,7.07,23.48,0,0.0,0.0,30.55,0.0,1065.72,1,Flat Discount,103.5,0.64,0,0,0,18
ORD486831,Blinkit,Pune,Fruits & Veg,13,649.81,20,0,Rainy,0.0,6.21,18.01,0,0.0,5.26,29.48,63.23,616.06,0,None,0.0,,0,1,1,15
ORD813145,Instamart,Bangalore,Medicines,7,668.78,16,1,Cloudy,0.0,8.61,0.0,0,0.0,0.0,8.61,0.0,677.39,1,Flat Discount,99.93,0.99,0,0,1,17
ORD397846,Blinkit,Bangalore,Snacks,13,564.53,20,0,Rainy,0.0,14.11,15.83,0,0.0,6.65,36.59,12.24,588.88,1,Free Delivery,58.44,1.0,0,1,0,28
ORD708851,Zepto,Pune,Personal Care,3,768.16,9,0,Cloudy,0.0,3.84,0.0,0,0.0,0.0,3.84,0.0,772.0,0,None,0.0,,0,0,0,5
ORD131757,Zepto,Chennai,Grocery,2,1142.37,20,0,Clear,0.0,9.94,0.0,0,0.0,10.72,20.66,12.65,1150.38,0,None,0.0,,0,0,0,16
ORD853258,Instamart,Pune,Frozen,13,413.13,17,0,Rainy,0.0,4.44,12.6,0,0.0,0.0,17.04,0.0,430.17,1,Free Delivery,57.63,0.93,0,1,0,11
ORD267457,Instamart,Chennai,Dairy,9,437.41,23,1,Cloudy,0.0,6.8,0.0,0,9.16,0.0,15.96,17.35,436.02,1,Free Gift,130.98,0.39,1,1,1,27
ORD152995,Blinkit,Chennai,Personal Care,8,637.05,9,1,Hot,0.0,5.9,0.0,0,0.0,0.0,5.9,0.0,642.95,1,Free Delivery,40.12,0.97,0,1,0,10
ORD402620,Blinkit,Lucknow,Snacks,7,1068.35,11,1,Clear,0.0,12.28,0.0,0,0.0,0.0,12.28,0.0,1080.63,1,Free Gift,17.16,0.67,0,0,0,3
ORD140804,Blinkit,Lucknow,Dairy,3,521.17,19,1,Clear,0.0,12.95,0.0,0,0.0,12.55,25.5,75.12,471.55,1,BOGO,66.19,0.91,0,0,1,5
ORD613641,Instamart,Chennai,Snacks,10,447.32,19,0,Rainy,0.0,7.68,13.63,0,0.0,12.39,33.7,0.0,481.02,1,Flat Discount,81.02,1.0,0,1,0,23
ORD821466,Instamart,Pune,Dairy,11,1177.49,14,1,Cloudy,0.0,7.5,0.0,0,0.0,0.0,7.5,0.0,1184.99,0,None,0.0,,0,1,1,21
ORD254954,Zepto,Lucknow,Grocery,12,733.55,10,0,Rainy,0.0,4.53,19.44,0,0.0,0.0,23.97,0.0,757.52,0,None,0.0,,0,1,0,27
ORD871581,Instamart,Hyderabad,Grocery,4,573.96,5,0,Clear,0.0,6.51,0.0,0,10.45,0.0,16.96,0.0,590.92,1,BOGO,138.87,0.67,1,0,0,24
ORD813813,Zepto,Bangalore,Frozen,9,431.4,15,0,Hot,0.0,4.56,0.0,0,0.0,0.0,4.56,0.0,435.96,1,Flat Discount,104.62,0.67,0,1,0,21
ORD432441,Instamart,Pune,Personal Care,5,331.85,16,1,Rainy,0.0,9.84,14.98,0,0.0,0.0,24.82,14.51,342.16,0,None,0.0,,0,0,0,16
ORD463188,Blinkit,Pune,Fruits & Veg,7,1149.16,11,0,Hot,0.0,13.05,0.0,0,0.0,0.0,13.05,23.01,1139.2,0,None,0.0,,0,0,1,30
ORD852204,Blinkit,Pune,Personal Care,9,233.75,18,1,Cloudy,32.31,10.87,0.0,0,0.0,0.0,10.87,53.59,223.34,1,Free Delivery,17.35,0.98,0,1,0,16
ORD991638,Zepto,Bangalore,Medicines,7,614.74,0,0,Rainy,0.0,4.8,24.46,0,18.9,0.0,48.16,38.75,624.15,1,BOGO,42.51,1.0,1,0,1,30
ORD451317,Zepto,Bangalore,Frozen,14,962.52,13,0,Clear,0.0,4.68,0.0,0,0.0,13.72,18.4,0.0,980.92,1,Cashback,11.3,0.92,0,1,0,10
ORD114768,Blinkit,Lucknow,Beverages,5,985.87,21,1,Hot,0.0,8.31,0.0,0,0.0,11.48,19.79,0.0,1005.66,0,None,0.0,,0,0,0,24
ORD107161,Blinkit,Pune,Frozen,10,1006.23,16,0,Rainy,0.0,10.15,16.3,0,0.0,0.0,26.45,0.0,1032.68,1,Free Delivery,76.84,1.0,0,1,0,9
ORD907236,Blinkit,Hyderabad,Grocery,5,372.94,13,1,Cloudy,0.0,8.6,0.0,0,0.0,9.65,18.25,53.42,337.77,1,BOGO,139.23,1.0,0,0,0,10
ORD536045,Instamart,Delhi,Beverages,10,325.42,17,0,Cloudy,0.0,4.8,0.0,0,0.0,0.0,4.8,52.34,277.88,0,None,0.0,,0,1,0,23
ORD630041,Instamart,Lucknow,Beverages,13,841.98,19,0,Rainy,0.0,7.57,19.87,0,0.0,10.28,37.72,0.0,879.7,1,BOGO,25.71,1.0,0,1,0,7
ORD160541,Instamart,Bangalore,Beverages,2,882.95,9,0,Hot,0.0,6.93,0.0,0,0.0,0.0,6.93,0.0,889.88,1,Cashback,73.48,0.99,0,0,0,18
ORD172371,Blinkit,Pune,Beverages,12,727.71,18,0,Clear,0.0,5.45,0.0,0,0.0,0.0,5.45,5.1,728.06,0,None,0.0,,0,1,0,30
ORD785280,Blinkit,Mumbai,Frozen,13,499.4,11,1,Rainy,0.0,13.91,21.73,0,0.0,0.0,35.64,0.0,535.04,1,Cashback,105.58,0.61,0,1,0,28
ORD544730,Blinkit,Delhi,Beverages,12,1015.0,9,0,Rainy,0.0,12.56,29.68,0,0.0,0.0,42.24,0.0,1057.24,0,None,0.0,,0,1,0,18
ORD352356,Blinkit,Hyderabad,Dairy,4,116.08,10,0,Cloudy,33.2,11.15,0.0,25,0.0,0.0,36.15,0.0,185.43,0,None,0.0,,0,0,1,7
ORD867051,Zepto,Delhi,Grocery,4,530.54,16,0,Clear,0.0,5.11,0.0,0,0.0,0.0,5.11,51.82,483.83,1,BOGO,149.09,0.95,0,0,0,19
ORD774565,Blinkit,Chennai,Personal Care,7,388.17,10,0,Rainy,0.0,10.57,23.88,0,0.0,0.0,34.45,0.0,422.62,1,Free Gift,87.82,0.67,0,0,0,22
ORD689704,Blinkit,Chennai,Snacks,7,924.95,18,0,Cloudy,0.0,9.74,0.0,0,0.0,0.0,9.74,0.0,934.69,1,Free Delivery,122.81,0.68,0,0,0,14
ORD297303,Blinkit,Bangalore,Dairy,11,1112.89,12,1,Cloudy,0.0,13.47,0.0,0,0.0,6.9,20.37,57.97,1075.29,1,BOGO,94.41,1.0,0,1,1,26
ORD890973,Instamart,Hyderabad,Grocery,5,317.22,14,0,Cloudy,0.0,5.14,0.0,0,0.0,0.0,5.14,0.0,322.36,0,None,0.0,,0,0,0,16
ORD435788,Zepto,Hyderabad,Personal Care,13,506.34,12,1,Cloudy,0.0,7.8,0.0,0,0.0,10.13,17.93,15.69,508.58,1,Cashback,122.39,0.65,0,1,0,30
ORD786406,Zepto,Chennai,Snacks,12,98.17,11,1,Rainy,23.3,8.26,20.8,20,0.0,0.0,49.06,11.77,158.76,1,BOGO,126.67,0.6,0,1,0,22
ORD772985,Blinkit,Pune,Snacks,8,900.7,19,0,Hot,0.0,8.52,0.0,0,0.0,6.84,15.36,43.72,872.34,0,None,0.0,,0,1,0,2
ORD746467,Instamart,Mumbai,Grocery,13,541.88,20,1,Clear,0.0,9.06,0.0,0,0.0,5.09,14.15,49.5,506.53,1,Flat Discount,18.46,1.0,0,1,0,30
